,circuitId,name,country,location,lat,lng,alt
0,1,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,10
1,2,Sepang International Circuit,Malaysia,Kuala Lumpur,2.76083,101.738,18
2,3,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,7
3,4,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111,109
4,5,Istanbul Park,Turkey,Istanbul,40.9517,29.405,130
5,6,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,7
6,7,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,13
7,8,Circuit de Nevers Magny-Cours,France,Magny Cours,46.8642,3.16361,228
8,9,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,153
9,10,Hockenheimring,Germany,Hockenheim,49.3278,8.56583,103
10,11,Hungaroring,Hungary,Budapest,47.5789,19.2486,264
11,12,Valencia Street Circuit,Spain,Valencia,39.4589,-0.331667,4
12,13,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,401
13,14,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,162
14,15,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,18
15,16,Fuji Speedway,Japan,Oyama,35.3717,138.927,583
16,17,Shanghai International Circuit,China,Shanghai,31.3389,121.22,5
17,18,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997,785
18,19,Indianapolis Motor Speedway,USA,Indianapolis,39.795,-86.2347,223
19,20,Nürburgring,Germany,Nürburg,50.3356,6.9475,578
20,21,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167,37
21,22,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,45
22,80,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173,\N
23,24,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,3
24,25,Autódromo Juan y Oscar Gálvez,Argentina,Buenos Aires,-34.6943,-58.4593,8
25,26,Circuito de Jerez,Spain,Jerez de la Frontera,36.7083,-6.03417,37
26,27,Autódromo do Estoril,Portugal,Estoril,38.7506,-9.39417,130
27,28,Okayama International Circuit,Japan,Okayama,34.915,134.221,266
28,29,Adelaide Street Circuit,Australia,Adelaide,-34.9272,138.617,58
29,30,Kyalami,South Africa,Midrand,-25.9894,28.0767,1460
30,31,Donington Park,UK,Castle Donington,52.8306,-1.37528,88
31,32,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907,2227
32,33,Phoenix street circuit,USA,Phoenix,33.4479,-112.075,345
33,34,Circuit Paul Ricard,France,Le Castellet,43.2506,5.79167,432
34,35,Korean International Circuit,Korea,Yeongam County,34.7333,126.417,0
35,36,Autódromo Internacional Nelson Piquet,Brazil,Rio de Janeiro,-22.9756,-43.395,1126
36,37,Detroit Street Circuit,USA,Detroit,42.3298,-83.0401,177
37,38,Brands Hatch,UK,Kent,51.3569,0.263056,145
38,39,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,6
39,40,Zolder,Belgium,Heusden-Zolder,50.9894,5.25694,36
40,41,Dijon-Prenois,France,Dijon,47.3625,4.89913,484
41,42,Fair Park,USA,Dallas,32.7774,-96.7587,139
42,43,Long Beach,USA,California,33.7651,-118.189,12
43,44,Las Vegas Street Circuit,USA,Nevada,36.1162,-115.174,639
44,45,Jarama,Spain,Madrid,40.6171,-3.58558,609
45,46,Watkins Glen,USA,New York State,42.3369,-76.9272,485
46,47,Scandinavian Raceway,Sweden,Anderstorp,57.2653,13.6042,153
47,48,Mosport International Raceway,Canada,Ontario,44.0481,-78.6756,332
48,49,Montjuïc,Spain,Barcelona,41.3664,2.15167,79
49,50,Nivelles-Baulers,Belgium,Brussels,50.6211,4.32694,139
50,51,Charade Circuit,France,Clermont-Ferrand,45.7472,3.03889,790
51,52,Circuit Mont-Tremblant,Canada,Quebec,46.1877,-74.6099,214
52,53,Rouen-Les-Essarts,France,Rouen,49.3306,1.00458,81
53,54,Le Mans,France,Le Mans,47.95,0.224231,67
54,55,Reims-Gueux,France,Reims,49.2542,3.93083,88
55,56,Prince George Circuit,South Africa,Eastern Cape Province,-33.0486,27.8736,15
56,57,Zeltweg,Austria,Styria,47.2039,14.7478,676
57,58,Aintree,UK,Liverpool,53.4769,-2.94056,20
58,59,Circuito da Boavista,Portugal,Oporto,41.1705,-8.67325,28
59,60,Riverside International Raceway,USA,California,33.937,-117.273,470
60,61,AVUS,Germany,Berlin,52.4806,13.2514,53
61,62,Monsanto Park Circuit,Portugal,Lisbon,38.7197,-9.20306,158
62,63,Sebring International Raceway,USA,Florida,27.4547,-81.3483,18
63,64,Ain Diab,Morocco,Casablanca,33.5786,-7.6875,19
64,65,Pescara Circuit,Italy,Pescara,42.475,14.1508,129
65,66,Circuit Bremgarten,Switzerland,Bern,46.9589,7.40194,551
66,67,Circuit de Pedralbes,Spain,Barcelona,41.3903,2.11667,85
67,68,Buddh International Circuit,India,Uttar Pradesh,28.3487,77.5331,194
68,69,Circuit of the Americas,USA,Austin,30.1328,-97.6411,161
69,70,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,678
70,71,Sochi Autodrom,Russia,Sochi,43.4057,39.9578,2
71,73,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,-7
72,75,Autódromo Internacional do Algarve,Portugal,Portimão,37.227,-8.6267,108
73,76,Autodromo Internazionale del Mugello,Italy,Mugello,43.9975,11.3719,255
74,77,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044,15
75,78,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542,\N
76,79,Miami International Autodrome,USA,Miami,25.9581,-80.2389,\N
